TC2004_ID,NAME,TotalOfPremise,Comparison_Prop,Convenience_Prop,Leisure_Prop,Services_Prop,Vacant_Prop
RC0594,"The Angel, Islington Retail Core",268,0.458955224,0.070895522,0.22761194,0.201492537,0.041044776
RC0595,The Galleria Retail Core,23,0.52173913,0.086956522,0.130434783,0.217391304,0.043478261
TC1235,"The Galleries, Washington",58,0.379310345,0.086206897,0.086206897,0.224137931,0.224137931
RC0596,"The Galleries, Washington Retail Core",57,0.385964912,0.087719298,0.070175439,0.228070175,0.228070175
TC1237,The Metro Centre,389,0.593830334,0.053984576,0.143958869,0.102827763,0.105398458
RC0597,The Metro Centre Retail Core,389,0.593830334,0.053984576,0.143958869,0.102827763,0.105398458
TC1238,"The Park, Cheltenham",64,0.296875,0.15625,0.1875,0.28125,0.078125
TC1240,The Trafford Centre,255,0.643137255,0.058823529,0.188235294,0.066666667,0.043137255
RC0598,The Trafford Centre Retail Core,255,0.643137255,0.058823529,0.188235294,0.066666667,0.043137255
TC1241,Thetford,34,0.264705882,0.058823529,0.264705882,0.235294118,0.176470588
TC1242,Thirsk,31,0.290322581,0.064516129,0.129032258,0.064516129,0.451612903
TC1243,Thornbury,54,0.259259259,0.12962963,0.018518519,0.314814815,0.277777778
TC1244,Thorne,50,0.32,0.08,0.1,0.18,0.32
TC1245,Thornton Heath,47,0.340425532,0.234042553,0.191489362,0.170212766,0.063829787
TC1247,Timperley,10,0.1,0.3,0.1,0.4,0.1
TC1248,Tiverton,152,0.447368421,0.059210526,0.157894737,0.269736842,0.065789474
RC0600,Tiverton Retail Core,90,0.488888889,0.066666667,0.133333333,0.222222222,0.088888889
TC1249,Todmorden,19,0.105263158,0,0.105263158,0.210526316,0.578947368
TC1250,Tolworth,99,0.242424242,0.131313131,0.232323232,0.292929293,0.101010101
TC1251,Tonbridge,237,0.333333333,0.071729958,0.164556962,0.29535865,0.135021097
RC0601,Tonbridge Retail Core,95,0.463157895,0.063157895,0.063157895,0.263157895,0.147368421
TC1252,"Tonypandy, Rhondda",9,0.444444444,0,0,0.222222222,0.333333333
TC1254,Tooting,355,0.338028169,0.14084507,0.171830986,0.264788732,0.084507042
RC0602,Tooting Retail Core,156,0.403846154,0.121794872,0.16025641,0.275641026,0.038461538
TC1255,Topsham,4,0,0.25,0,0.5,0.25
TC1257,Torport,1,1,0,0,0,0
TC1258,Torquay,385,0.363636364,0.05974026,0.212987013,0.176623377,0.187012987
RC0603,Torquay Retail Core,287,0.414634146,0.069686411,0.149825784,0.170731707,0.195121951
TC1259,Torre,47,0.276595745,0.042553191,0.14893617,0.319148936,0.212765957
TC1260,Totnes,65,0.476923077,0.123076923,0.092307692,0.123076923,0.184615385
TC1261,Tottenham,166,0.325301205,0.162650602,0.174698795,0.295180723,0.042168675
TC1262,Totton,104,0.230769231,0.067307692,0.173076923,0.442307692,0.086538462
TC1263,Towcester,28,0.25,0.035714286,0.142857143,0.428571429,0.142857143
TC1264,"Trafalgar Road East, Greenwich",55,0.218181818,0.145454545,0.218181818,0.327272727,0.090909091
TC1265,Tredegar,41,0.268292683,0.146341463,0.024390244,0.12195122,0.43902439
TC1266,Tring,12,0.166666667,0.166666667,0.083333333,0.416666667,0.166666667
TC1267,Trowbridge,286,0.384615385,0.062937063,0.146853147,0.304195804,0.101398601
RC0604,Trowbridge Retail Core,242,0.404958678,0.05785124,0.144628099,0.309917355,0.082644628
TC1268,Truro,415,0.448192771,0.045783133,0.178313253,0.226506024,0.101204819
