UID,NAME,Comp_08,Conv_08,Lei_08,Serv_08,CompCh_15,ConCh_15,LeiCh_15,SerCh_15,EASTING,NORTHING
TC0483,Folkestone,110.4,111.45,110.87,111.67,-31.57,-31.87,-31.71,-31.94,622692.6,135899.8
TC0077,Barnstaple,196.13,155.42,156,140.22,-54.52,-43.2,-43.37,-38.98,255804.7101,133268.1159
TC0653,Horsham,223.09,287.16,175.7,211.41,-53.1,-68.35,-41.81,-50.31,517249.1758,130628.5714
TC1058,Salisbury,215.41,236.46,169.38,179.98,-49.76,-54.62,-39.13,-41.58,414391.8269,130032.2115
TC0589,Haywards Heath,205.66,209.65,163.09,200.67,-73.42,-74.84,-58.23,-71.64,533110.4396,124106.3187
TC0425,Eastleigh,186.47,203.24,158.76,168.64,-57.43,-62.6,-48.9,-51.94,445541.6667,118994.697
TC1128,Southampton,312.75,237.99,169.1,196.2,-54.11,-41.18,-29.25,-33.94,441979.7703,111931.8905
TC0578,Hastings,159.45,134.4,170.95,115.04,-50.71,-42.74,-54.36,-36.58,581698.4615,109474.2308
TC0462,Fareham,189.84,175.16,212.42,166.05,-77.26,-71.29,-86.46,-67.58,457901.2295,106245.4918
TC0286,Chichester,338.11,377.73,223.33,245.74,-37.53,-41.92,-24.79,-27.27,486055.786,104757.5328
TC0184,Brighton and Hove,287.55,242.2,253.33,194.36,45.43,38.27,40.03,30.71,530467.7802,104558.9978
TC0422,Eastbourne,166.58,138.41,131.83,135.81,-15.16,-12.59,-12,-12.36,561146.1321,99031.22641
TC0299,Christchurch,212.93,291.87,201.44,183.01,-70.9,-97.19,-67.08,-60.94,415772.3333,92855
TC0456,Exeter,286.82,265.95,221.71,226.08,-57.36,-53.19,-44.34,-45.22,292162.0474,92757.45125
TC0162,Bournemouth,318.17,209.08,204.04,215.73,-127.27,-83.63,-81.62,-86.29,408948.5602,91337.43455
TC0964,Plymouth,233.15,227.64,211.31,182.75,-25.88,-25.26,-23.46,-20.29,247867.6357,54542.44186
