LAD_CODE,LAD_NAME,Av_08,Comp0812,Con0812,Lei0812,Ser0812
E07000063,Lewes,156.459687207136227,-23.311517627394977,-20.189668574339180,-21.274007279460051,-21.128840075388609
E09000030,Tower Hamlets,205.409640999163571,-16.846597353507065,-15.232185683578336,-16.779974456393262,-17.562766025977083
E07000237,Worcester,165.828571907664696,-24.222021964819305,-18.047954298309989,-21.629532892422020,-18.199950004912523
E07000072,Epping Forest,212.326066433184252,-33.713579735030265,-27.209820524683039,-30.955090932361998,-32.062328429556857
E07000124,Ribble Valley,105.832172141035983,-17.755430580897198,-18.276872433120758,-17.549603675471730,-17.816485803037992
E07000163,Craven,167.068411388811541,-25.651703731194601,-24.650236860485876,-23.903600467481056,-22.613001300395524
E07000032,Amber Valley,91.541474990458468,-8.252933316734982,-10.212518907904851,-8.091305326336794,-7.830953955777218
E07000207,Elmbridge,184.025617836820004,-26.634028356672985,-22.909467765468946,-23.334962601134947,-26.485002124110480
E09000001,City of London,586.199182043215615,-57.770933807605957,-66.327653633767454,-41.031698253766251,-41.150793581892117
E08000031,Wolverhampton,114.666462770057848,-14.927901742420204,-16.207310169750457,-12.612939669604998,-14.053342022899486
E07000083,Tewkesbury,128.758949613242322,-19.077091480610505,-18.203086337968585,-20.028164383686061,-20.284019501698197
E07000202,Ipswich,144.939838970950206,-21.665483983667301,-20.834548213213168,-22.628075351816221,-20.911128624506716
E07000093,Test Valley,163.459212840164582,-24.457241380052523,-21.723575521234835,-23.158060578285045,-21.816277138527141
E06000028,Bournemouth,166.357128303178428,-27.589400428252247,-22.253018089795802,-26.132229756369469,-23.046679910365981
E06000004,Stockton-on-Tees,122.159692138623456,-24.749653166365363,-22.318815927026691,-17.530316089425739,-21.014235526559531
E09000019,Islington,242.113447372061671,-21.251105083152595,-17.325658975091699,-19.613638827037960,-18.839994551122487
E08000026,Coventry,132.660033778970273,-20.152799840538961,-16.233087610814366,-15.201542918550416,-15.537787615057098
E07000150,Corby,136.355732459947916,-13.244043905615115,-10.834137648081096,-10.709058079629386,-12.411720187767656
E07000177,Cherwell,201.646451942978899,-39.886723755908804,-18.981285498832051,-22.346920687129312,-20.255502018517973
E09000002,Barking and Dagenham,130.110476776869945,-9.965684604946418,-10.069942541606082,-10.774400591232862,-10.908142134333090
E07000117,Burnley,105.655298786372867,-20.621296120600178,-17.013932952197166,-14.877568057060287,-17.021430401374374
E07000108,Dover,108.863482183332778,-15.482201993487635,-14.631166956677276,-15.562859349701441,-14.654413703092814
E07000215,Tandridge,140.069729403547996,-18.654708981034517,-16.827106437592363,-23.679837655455401,-19.632892214526521
E06000018,Nottingham,145.506795289606345,-18.241739259281303,-12.621038323298222,-10.940225226273000,-10.524529985099093
E09000006,Bromley,182.831641017579472,-17.902928880955272,-12.403255608986854,-12.696786408199017,-13.131588836599605
E07000152,East Northamptonshire,85.435661064843515,-7.520760372242862,-7.845550222038497,-7.414572011150540,-7.596806091716672
E07000039,South Derbyshire,79.009379146641180,-6.951885830850316,-8.119279440130285,-6.889731447334626,-7.136533920379108
E07000146,King's Lynn and West Norfolk,127.373751508764599,-21.055992680362905,-20.790986651515610,-20.377788286735012,-15.468193647507761
E06000052,Cornwall,160.698318196119089,-25.831363995904070,-24.091924767942800,-27.080769446171729,-19.956443631481676
